nodes,clients,avg_payload_bytes,classical_tps,static_hybrid_tps,ml_optimized_tps,static_drop_pct,optimized_drop_pct
50,50,256.0,1179.72,965.40,1012.64,18.17,14.16
100,100,273.5,1082.11,885.53,928.85,18.17,14.16
150,150,291.0,995.93,815.00,854.88,18.17,14.16
200,200,308.5,919.47,752.43,789.25,18.17,14.16
250,250,326.0,851.33,696.67,730.75,18.17,14.16
300,300,343.5,790.34,646.76,678.40,18.17,14.16
350,350,361.0,735.55,601.92,631.37,18.17,14.16
400,400,378.5,686.13,561.49,588.96,18.17,14.16
450,450,396.0,641.43,524.90,550.58,18.17,14.16
500,500,413.5,600.85,491.70,515.75,18.17,14.16
