tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,network_latency_ms,packet_loss_pct,bandwidth_mbps,threat_level,load_factor,crypto_key_exchange_ms,crypto_signature_ms,crypto_verify_ms,crypto_latency_ms,blockchain_endorsement_ms,blockchain_commit_ms,blockchain_latency_ms,routing_latency_ms,queue_ms,ml_gain_ms,jitter_ms,end_to_end_latency_ms,security_score
1,Transfer,adaptive,ml_optimized,239,True,194.991,1.416,42.703,0.511,0.006,0.425,1.487,0.259,2.171,1.247,4.165,5.412,212.486,0.576,-0.527,3.961,224.079,82.71
2,Transfer,adaptive,static_hybrid,235,False,4.722,0.086,761.401,0.505,0.005,0.435,1.712,0.299,2.446,1.262,2.362,3.624,2.100,0.625,0.000,0.147,8.943,81.48
3,SettleCrossBorder,adaptive,ml_optimized,411,True,186.862,0.711,70.288,0.348,0.133,0.519,1.456,0.265,2.240,1.700,4.165,5.865,200.129,0.686,-0.565,3.748,212.102,85.28
4,Transfer,adaptive,static_hybrid,138,False,3.827,0.019,965.379,0.409,0.137,0.435,1.691,0.306,2.432,1.043,2.195,3.238,1.783,0.749,0.000,0.134,8.336,81.95
5,Transfer,adaptive,static_hybrid,226,False,4.759,0.090,838.012,0.239,0.105,0.435,1.654,0.304,2.393,1.258,2.347,3.604,2.116,0.719,0.000,0.146,8.978,82.81
6,Transfer,adaptive,static_hybrid,201,False,4.218,0.118,1009.862,0.465,0.037,0.435,1.703,0.301,2.439,1.183,2.305,3.488,2.020,0.654,0.000,0.143,8.744,81.68
7,Transfer,adaptive,classical,229,False,3.105,0.031,757.801,0.116,0.061,0.262,0.872,0.187,1.322,1.196,2.350,3.546,1.020,0.705,0.000,0.106,6.698,25.42
8,Transfer,adaptive,ml_optimized,139,True,286.156,0.777,34.613,0.529,0.056,0.425,1.490,0.262,2.177,1.006,3.928,4.934,299.818,0.619,-0.501,5.525,312.571,84.21
9,Transfer,adaptive,static_hybrid,255,False,3.883,0.146,947.048,0.355,0.032,0.435,1.679,0.300,2.415,1.317,2.398,3.715,1.975,0.650,0.000,0.146,8.900,82.23
10,IssueCBDC,adaptive,static_hybrid,259,False,5.193,0.125,882.843,0.598,0.099,0.512,1.733,0.304,2.548,1.339,2.404,3.743,2.273,0.713,0.000,0.154,9.432,81.01
11,SettleCrossBorder,adaptive,ml_optimized,370,True,204.385,1.048,40.018,0.620,0.039,0.519,1.508,0.261,2.288,1.580,4.337,5.918,219.670,0.604,-0.568,4.102,232.013,83.08
12,Transfer,adaptive,static_hybrid,269,False,6.153,0.051,838.118,0.535,0.069,0.435,1.719,0.302,2.456,1.358,2.419,3.777,2.409,0.685,0.000,0.156,9.483,81.32
13,Transfer,adaptive,static_hybrid,222,False,5.069,0.149,647.953,0.262,0.029,0.435,1.659,0.300,2.394,1.234,2.342,3.576,2.277,0.647,0.000,0.148,9.042,82.69
14,SettleCrossBorder,adaptive,ml_optimized,262,True,261.456,0.514,42.801,0.343,0.101,0.519,1.455,0.264,2.237,1.322,4.041,5.363,273.537,0.658,-0.534,5.060,286.322,85.80
15,IssueCBDC,adaptive,static_hybrid,369,False,4.125,0.000,944.291,0.536,0.093,0.511,1.719,0.303,2.534,1.613,2.587,4.200,1.831,0.708,0.000,0.154,9.427,81.32
16,Transfer,adaptive,static_hybrid,193,False,3.907,0.047,701.869,0.359,0.050,0.435,1.680,0.301,2.417,1.165,2.290,3.455,1.842,0.667,0.000,0.139,8.519,82.21
17,Transfer,adaptive,ml_optimized,200,True,172.338,0.929,46.285,0.753,0.163,0.425,1.533,0.266,2.224,1.178,3.989,5.167,186.909,0.711,-0.524,3.497,197.986,82.72
18,IssueCBDC,adaptive,static_hybrid,351,False,4.123,0.154,864.245,0.336,0.154,0.518,1.675,0.306,2.500,1.579,2.561,4.140,2.047,0.764,0.000,0.156,9.607,82.32
19,SettleCrossBorder,adaptive,ml_optimized,407,True,207.432,1.289,27.851,0.637,0.186,0.519,1.511,0.267,2.297,1.699,4.517,6.216,224.189,0.731,-0.593,4.189,237.028,82.39
20,IssueCBDC,adaptive,static_hybrid,285,False,3.180,0.106,908.571,0.311,0.082,0.510,1.669,0.303,2.482,1.401,2.448,3.849,1.744,0.697,0.000,0.145,8.916,82.45
21,Transfer,adaptive,static_hybrid,315,False,1.951,0.115,813.251,0.584,0.181,0.435,1.730,0.308,2.473,1.494,2.499,3.993,1.449,0.790,0.000,0.142,8.847,81.08
22,SettleCrossBorder,adaptive,ml_optimized,409,True,226.045,1.549,49.115,0.793,0.084,0.519,1.541,0.263,2.323,1.686,4.439,6.125,244.338,0.643,-0.585,4.550,257.394,80.96
23,SettleCrossBorder,adaptive,ml_optimized,344,True,154.680,1.232,100.000,0.377,0.091,0.519,1.461,0.263,2.243,1.525,3.966,5.491,171.070,0.649,-0.541,3.218,182.130,83.83
24,SettleCrossBorder,adaptive,ml_optimized,341,True,150.567,0.832,44.921,0.726,0.072,0.519,1.528,0.262,2.309,1.514,4.220,5.734,164.556,0.632,-0.560,3.107,175.778,83.09
25,SettleCrossBorder,adaptive,ml_optimized,420,True,225.276,1.239,22.676,0.745,0.087,0.519,1.532,0.263,2.314,1.714,4.561,6.275,242.510,0.646,-0.594,4.520,255.670,81.98
26,Transfer,adaptive,static_hybrid,245,False,2.727,0.112,572.526,0.219,0.111,0.435,1.649,0.304,2.389,1.306,2.380,3.686,1.639,0.725,0.000,0.139,8.577,82.90
27,Transfer,adaptive,ml_optimized,383,True,169.652,1.787,62.896,0.337,0.086,0.425,1.453,0.263,2.141,1.621,4.355,5.977,189.376,0.645,-0.562,3.555,201.131,82.65
28,Transfer,adaptive,static_hybrid,261,False,5.657,0.010,802.018,0.406,0.204,0.435,1.690,0.309,2.435,1.363,2.404,3.767,2.228,0.812,0.000,0.152,9.393,81.97
29,Transfer,adaptive,ml_optimized,239,True,215.535,0.754,22.964,0.354,0.141,0.425,1.457,0.265,2.147,1.271,4.164,5.435,229.812,0.692,-0.532,4.273,241.827,85.15
30,Transfer,adaptive,static_hybrid,120,False,3.850,0.047,787.531,0.523,0.074,0.435,1.716,0.302,2.454,0.987,2.165,3.152,1.828,0.689,0.000,0.134,8.258,81.38
31,Transfer,adaptive,ml_optimized,220,True,277.259,1.117,35.863,0.514,0.063,0.425,1.487,0.262,2.174,1.210,4.120,5.330,292.962,0.625,-0.525,5.408,305.975,83.44
32,IssueCBDC,adaptive,static_hybrid,287,False,5.767,0.007,631.633,0.164,0.110,0.513,1.637,0.304,2.454,1.411,2.448,3.859,2.252,0.724,0.000,0.154,9.443,83.18
33,SettleCrossBorder,adaptive,ml_optimized,417,True,225.532,0.500,54.951,0.690,0.199,0.519,1.521,0.268,2.308,1.727,4.229,5.956,237.532,0.742,-0.579,4.424,250.383,84.10
34,Transfer,adaptive,static_hybrid,260,False,5.431,0.175,1066.380,0.112,0.178,0.435,1.626,0.308,2.369,1.356,2.407,3.763,2.403,0.788,0.000,0.154,9.476,83.44
35,Transfer,adaptive,static_hybrid,229,False,4.708,0.000,885.216,0.536,0.199,0.435,1.719,0.309,2.463,1.282,2.349,3.631,1.977,0.807,0.000,0.145,9.023,81.32
36,Transfer,adaptive,static_hybrid,255,False,3.090,0.091,874.240,0.264,0.202,0.435,1.659,0.309,2.403,1.347,2.396,3.744,1.699,0.810,0.000,0.141,8.797,82.68
37,SettleCrossBorder,adaptive,ml_optimized,345,True,188.271,1.734,10.000,0.358,0.220,0.519,1.457,0.269,2.245,1.550,4.599,6.149,210.373,0.760,-0.587,3.938,222.879,82.68
38,IssueCBDC,adaptive,static_hybrid,360,False,4.840,0.071,949.550,0.403,0.153,0.518,1.690,0.306,2.514,1.601,2.574,4.175,2.109,0.764,0.000,0.158,9.721,81.98
39,Transfer,adaptive,static_hybrid,149,False,3.949,0.159,1123.520,0.471,0.179,0.435,1.705,0.308,2.448,1.078,2.218,3.296,2.009,0.788,0.000,0.140,8.681,81.65
40,Transfer,adaptive,ml_optimized,216,True,179.326,0.754,31.342,0.455,0.141,0.425,1.476,0.265,2.166,1.214,4.075,5.289,192.851,0.693,-0.525,3.606,204.079,84.64
41,Transfer,adaptive,ml_optimized,278,True,232.755,1.437,70.195,0.450,0.164,0.425,1.475,0.266,2.166,1.373,4.070,5.443,250.377,0.712,-0.535,4.644,262.807,82.95
42,IssueCBDC,adaptive,static_hybrid,277,False,3.732,0.132,696.639,0.207,0.155,0.518,1.646,0.307,2.471,1.394,2.435,3.829,1.917,0.766,0.000,0.148,9.131,82.97
43,SettleCrossBorder,adaptive,ml_optimized,335,True,207.826,0.837,63.665,0.709,0.199,0.519,1.525,0.268,2.312,1.522,4.098,5.620,221.848,0.742,-0.559,4.136,234.098,83.16
44,Transfer,adaptive,ml_optimized,234,True,203.144,1.195,45.662,0.507,0.182,0.425,1.486,0.267,2.178,1.266,4.099,5.365,219.315,0.728,-0.533,4.083,231.137,83.28
45,IssueCBDC,adaptive,static_hybrid,407,False,3.575,0.025,856.625,0.485,0.106,0.512,1.708,0.304,2.524,1.710,2.653,4.363,1.729,0.720,0.000,0.155,9.491,81.57
46,Transfer,adaptive,ml_optimized,254,True,252.478,0.958,57.955,0.701,0.192,0.425,1.523,0.268,2.215,1.318,4.017,5.335,267.227,0.737,-0.534,4.946,279.925,82.90
47,SettleCrossBorder,adaptive,ml_optimized,300,True,109.063,0.500,64.242,0.715,0.176,0.519,1.526,0.267,2.312,1.430,3.975,5.405,121.063,0.723,-0.545,2.318,131.274,83.97
48,SettleCrossBorder,adaptive,ml_optimized,290,True,197.965,0.590,44.217,0.561,0.190,0.519,1.496,0.267,2.283,1.408,4.094,5.501,210.504,0.735,-0.549,3.929,222.403,84.52
49,Transfer,adaptive,ml_optimized,246,True,192.023,1.449,35.484,0.647,0.204,0.425,1.513,0.268,2.206,1.300,4.226,5.526,209.719,0.747,-0.545,3.914,221.567,81.94
50,IssueCBDC,adaptive,static_hybrid,340,False,2.850,0.114,779.483,0.392,0.204,0.524,1.687,0.309,2.520,1.560,2.541,4.102,1.672,0.812,0.000,0.149,9.256,82.04
51,SettleCrossBorder,adaptive,ml_optimized,242,True,204.307,0.662,61.749,0.777,0.165,0.519,1.538,0.266,2.323,1.283,3.920,5.203,217.278,0.713,-0.534,4.046,229.030,83.26
52,Transfer,adaptive,static_hybrid,266,False,3.381,0.059,874.517,0.440,0.165,0.435,1.698,0.307,2.440,1.368,2.414,3.782,1.727,0.775,0.000,0.143,8.868,81.80
53,IssueCBDC,adaptive,static_hybrid,310,False,3.437,0.085,829.820,0.114,0.202,0.524,1.626,0.309,2.459,1.485,2.490,3.975,1.779,0.810,0.000,0.148,9.170,83.43
54,IssueCBDC,adaptive,static_hybrid,348,False,3.657,0.084,789.990,0.290,0.221,0.526,1.665,0.310,2.501,1.583,2.554,4.137,1.832,0.828,0.000,0.152,9.450,82.55
55,SettleCrossBorder,adaptive,ml_optimized,383,True,199.734,1.286,67.248,0.625,0.227,0.519,1.509,0.269,2.297,1.647,4.239,5.886,216.451,0.767,-0.575,4.043,228.868,82.46
